xyz:time = ,435722.99900, pos = ,-2171463.37043,4386121.73198,4076278.54099
LLA:time = ,435722.99900, pos = ,116.33890,39.97951,56.04835
xyz:time = ,435723.99900, pos = ,-2171463.98417,4386122.22519,4076279.12636
LLA:time = ,435723.99900, pos = ,116.33891,39.97951,56.97182
xyz:time = ,435724.99900, pos = ,-2171459.68685,4386115.38485,4076278.19453
LLA:time = ,435724.99900, pos = ,116.33890,39.97955,50.21468
xyz:time = ,435725.99900, pos = ,-2171459.77331,4386115.61294,4076278.55899
LLA:time = ,435725.99900, pos = ,116.33890,39.97955,50.63488
xyz:time = ,435726.99900, pos = ,-2171463.05662,4386116.71786,4076278.55794
LLA:time = ,435726.99900, pos = ,116.33893,39.97954,52.50924
xyz:time = ,435727.99900, pos = ,-2171463.40358,4386117.18807,4076278.54981
LLA:time = ,435727.99900, pos = ,116.33893,39.97953,52.94488
xyz:time = ,435728.99900, pos = ,-2171463.63172,4386117.32735,4076278.86152
LLA:time = ,435728.99900, pos = ,116.33893,39.97953,53.31837
xyz:time = ,435729.99900, pos = ,-2171463.61055,4386117.55925,4076279.10205
LLA:time = ,435729.99900, pos = ,116.33893,39.97954,53.62497
xyz:time = ,435730.99900, pos = ,-2171463.79639,4386117.70068,4076278.96653
LLA:time = ,435730.99900, pos = ,116.33893,39.97953,53.69820
xyz:time = ,435731.99900, pos = ,-2171463.68436,4386117.34675,4076279.01374
LLA:time = ,435731.99900, pos = ,116.33893,39.97954,53.44739
xyz:time = ,435732.99900, pos = ,-2171464.15305,4386117.67103,4076279.08210
LLA:time = ,435732.99900, pos = ,116.33893,39.97953,53.87335
xyz:time = ,435733.99900, pos = ,-2171464.06005,4386117.51243,4076278.81941
LLA:time = ,435733.99900, pos = ,116.33893,39.97953,53.56403
xyz:time = ,435734.99900, pos = ,-2171464.27456,4386117.57322,4076279.05240
LLA:time = ,435734.99900, pos = ,116.33894,39.97953,53.82841
xyz:time = ,435735.99900, pos = ,-2171465.13514,4386118.44386,4076280.35533
LLA:time = ,435735.99900, pos = ,116.33894,39.97954,55.55603
xyz:time = ,435736.99900, pos = ,-2171465.29996,4386118.56297,4076280.64394
LLA:time = ,435736.99900, pos = ,116.33894,39.97954,55.87929
xyz:time = ,435737.99900, pos = ,-2171465.35116,4386118.58935,4076280.58261
LLA:time = ,435737.99900, pos = ,116.33894,39.97954,55.87541
xyz:time = ,435738.99900, pos = ,-2171464.94853,4386118.30698,4076280.05525
LLA:time = ,435738.99900, pos = ,116.33894,39.97953,55.20578
xyz:time = ,435739.99900, pos = ,-2171464.98478,4386118.30458,4076280.06879
LLA:time = ,435739.99900, pos = ,116.33894,39.97953,55.22516
xyz:time = ,435740.99900, pos = ,-2171464.52792,4386117.84813,4076279.30014
LLA:time = ,435740.99900, pos = ,116.33894,39.97953,54.26251
xyz:time = ,435741.99900, pos = ,-2171464.35010,4386117.53016,4076278.98949
LLA:time = ,435741.99900, pos = ,116.33894,39.97953,53.78409
xyz:time = ,435742.99900, pos = ,-2171464.14240,4386117.32113,4076278.61642
LLA:time = ,435742.99900, pos = ,116.33894,39.97953,53.33024
xyz:time = ,435743.99900, pos = ,-2171464.36656,4386117.56688,4076278.84366
LLA:time = ,435743.99900, pos = ,116.33894,39.97953,53.72121
xyz:time = ,435744.99900, pos = ,-2171464.40879,4386117.57825,4076278.81193
LLA:time = ,435744.99900, pos = ,116.33894,39.97953,53.72299
xyz:time = ,435745.99900, pos = ,-2171464.48903,4386117.99492,4076278.95056
LLA:time = ,435745.99900, pos = ,116.33894,39.97953,54.12548
xyz:time = ,435746.99900, pos = ,-2171464.53471,4386118.01753,4076279.15051
LLA:time = ,435746.99900, pos = ,116.33894,39.97953,54.28501
xyz:time = ,435747.99900, pos = ,-2171464.71015,4386118.23433,4076279.30171
LLA:time = ,435747.99900, pos = ,116.33894,39.97953,54.59068
xyz:time = ,435748.99900, pos = ,-2171464.73887,4386118.22349,4076279.36038
LLA:time = ,435748.99900, pos = ,116.33894,39.97953,54.63070
xyz:time = ,435749.99900, pos = ,-2171464.86887,4386118.34145,4076279.51600
LLA:time = ,435749.99900, pos = ,116.33894,39.97953,54.85589
xyz:time = ,435750.99900, pos = ,-2171465.06108,4386118.38090,4076279.59431
LLA:time = ,435750.99900, pos = ,116.33894,39.97953,54.99864
xyz:time = ,435751.99900, pos = ,-2171465.15071,4386117.91820,4076279.53321
LLA:time = ,435751.99900, pos = ,116.33894,39.97953,54.67211
xyz:time = ,435752.99900, pos = ,-2171465.01925,4386117.43366,4076279.04465
LLA:time = ,435752.99900, pos = ,116.33894,39.97953,53.98077
xyz:time = ,435753.99900, pos = ,-2171463.70953,4386116.49753,4076277.22224
LLA:time = ,435753.99900, pos = ,116.33894,39.97953,51.72170
xyz:time = ,435754.99900, pos = ,-2171462.94809,4386115.76211,4076276.19093
LLA:time = ,435754.99900, pos = ,116.33893,39.97953,50.29517
xyz:time = ,435755.99900, pos = ,-2171462.95369,4386115.69001,4076275.82552
LLA:time = ,435755.99900, pos = ,116.33893,39.97952,50.01277
xyz:time = ,435756.99900, pos = ,-2171461.64358,4386114.92419,4076275.39124
LLA:time = ,435756.99900, pos = ,116.33892,39.97953,48.76243
xyz:time = ,435757.99900, pos = ,-2171461.40051,4386115.13037,4076275.97268
LLA:time = ,435757.99900, pos = ,116.33892,39.97953,49.19496
xyz:time = ,435758.99900, pos = ,-2171463.09348,4386115.66713,4076276.46768
LLA:time = ,435758.99900, pos = ,116.33893,39.97953,50.45719
xyz:time = ,435759.99900, pos = ,-2171464.31801,4386116.84104,4076278.60606
LLA:time = ,435759.99900, pos = ,116.33894,39.97953,53.05359
xyz:time = ,435760.99900, pos = ,-2171461.83915,4386115.82008,4076277.20902
LLA:time = ,435760.99900, pos = ,116.33892,39.97954,50.61210
xyz:time = ,435761.99900, pos = ,-2171460.98467,4386115.20166,4076276.03247
LLA:time = ,435761.99900, pos = ,116.33891,39.97953,49.14096
xyz:time = ,435762.99900, pos = ,-2171462.17324,4386115.87822,4076277.13940
LLA:time = ,435762.99900, pos = ,116.33892,39.97953,50.72087
xyz:time = ,435763.99900, pos = ,-2171463.04806,4386116.55515,4076278.42433
LLA:time = ,435763.99900, pos = ,116.33893,39.97954,52.30874
xyz:time = ,435764.99900, pos = ,-2171462.04099,4386115.92453,4076277.63708
LLA:time = ,435764.99900, pos = ,116.33892,39.97954,51.02748
xyz:time = ,435765.99900, pos = ,-2171460.98784,4386115.34577,4076277.28499
LLA:time = ,435765.99900, pos = ,116.33891,39.97954,50.04576
xyz:time = ,435766.99900, pos = ,-2171460.72304,4386115.54178,4076277.68839
LLA:time = ,435766.99900, pos = ,116.33891,39.97954,50.34952
xyz:time = ,435767.99900, pos = ,-2171461.08523,4386115.53601,4076278.18228
LLA:time = ,435767.99900, pos = ,116.33891,39.97955,50.78603
xyz:time = ,435768.99900, pos = ,-2171460.72076,4386115.32249,4076278.53053
LLA:time = ,435768.99900, pos = ,116.33891,39.97955,50.73925
xyz:time = ,435769.99900, pos = ,-2171459.60502,4386114.34980,4076277.27646
LLA:time = ,435769.99900, pos = ,116.33890,39.97955,48.88619
xyz:time = ,435770.99900, pos = ,-2171460.21596,4386114.82659,4076278.43192
LLA:time = ,435770.99900, pos = ,116.33891,39.97955,50.16372
xyz:time = ,435771.99900, pos = ,-2171459.44547,4386114.14673,4076277.37394
LLA:time = ,435771.99900, pos = ,116.33890,39.97955,48.75513
xyz:time = ,435772.99900, pos = ,-2171460.25861,4386114.45576,4076278.28159
LLA:time = ,435772.99900, pos = ,116.33891,39.97955,49.82697
xyz:time = ,435774.99900, pos = ,-2171460.93027,4386114.08916,4076278.02530
LLA:time = ,435774.99900, pos = ,116.33892,39.97955,49.63890
xyz:time = ,435775.99900, pos = ,-2171460.86915,4386114.12885,4076277.60868
LLA:time = ,435775.99900, pos = ,116.33892,39.97955,49.37769
xyz:time = ,435776.99900, pos = ,-2171461.63385,4386114.13606,4076277.70233
LLA:time = ,435776.99900, pos = ,116.33893,39.97955,49.70281
xyz:time = ,435777.99900, pos = ,-2171462.35904,4386114.65766,4076278.44074
LLA:time = ,435777.99900, pos = ,116.33893,39.97955,50.78198
xyz:time = ,435778.99900, pos = ,-2171461.91647,4386114.24207,4076277.72853
LLA:time = ,435778.99900, pos = ,116.33893,39.97955,49.88852
xyz:time = ,435779.99900, pos = ,-2171461.34191,4386114.05409,4076277.65231
LLA:time = ,435779.99900, pos = ,116.33892,39.97955,49.51512
xyz:time = ,435780.99900, pos = ,-2171460.86432,4386113.89416,4076277.56527
LLA:time = ,435780.99900, pos = ,116.33892,39.97955,49.18699
xyz:time = ,435781.99900, pos = ,-2171460.32420,4386113.99817,4076277.52819
LLA:time = ,435781.99900, pos = ,116.33891,39.97955,49.05097
xyz:time = ,435782.99900, pos = ,-2171460.62803,4386114.50379,4076277.63129
LLA:time = ,435782.99900, pos = ,116.33891,39.97955,49.56773
xyz:time = ,435783.99900, pos = ,-2171460.19068,4386114.20136,4076277.53913
LLA:time = ,435783.99900, pos = ,116.33891,39.97955,49.15214
xyz:time = ,435784.99900, pos = ,-2171459.95863,4386114.26581,4076277.36047
LLA:time = ,435784.99900, pos = ,116.33891,39.97955,49.00272
xyz:time = ,435785.99900, pos = ,-2171457.86360,4386113.14689,4076275.72196
LLA:time = ,435785.99900, pos = ,116.33889,39.97955,46.46929
xyz:time = ,435786.99900, pos = ,-2171456.82214,4386112.45658,4076275.21647
LLA:time = ,435786.99900, pos = ,116.33888,39.97955,45.31637
xyz:time = ,435787.99900, pos = ,-2171458.13248,4386113.57887,4076276.94264
LLA:time = ,435787.99900, pos = ,116.33889,39.97956,47.64166
xyz:time = ,435788.99900, pos = ,-2171458.15341,4386113.51596,4076276.96781
LLA:time = ,435788.99900, pos = ,116.33889,39.97956,47.62174
xyz:time = ,435789.99900, pos = ,-2171459.30648,4386114.09624,4076278.09719
LLA:time = ,435789.99900, pos = ,116.33890,39.97956,49.13790
xyz:time = ,435790.99900, pos = ,-2171459.02321,4386113.54356,4076276.73769
LLA:time = ,435790.99900, pos = ,116.33890,39.97955,47.78855
xyz:time = ,435791.99900, pos = ,-2171459.10982,4386113.63270,4076277.49993
LLA:time = ,435791.99900, pos = ,116.33890,39.97956,48.36897
xyz:time = ,435792.99900, pos = ,-2171459.22808,4386113.68602,4076277.49979
LLA:time = ,435792.99900, pos = ,116.33890,39.97956,48.44569
xyz:time = ,435793.99900, pos = ,-2171457.26134,4386112.24374,4076275.12084
LLA:time = ,435793.99900, pos = ,116.33889,39.97955,45.25809
xyz:time = ,435794.99900, pos = ,-2171456.44548,4386112.04340,4076274.71031
LLA:time = ,435794.99900, pos = ,116.33888,39.97955,44.57937
xyz:time = ,435795.99900, pos = ,-2171455.70844,4386111.58444,4076273.89628
LLA:time = ,435795.99900, pos = ,116.33888,39.97955,43.49058
xyz:time = ,435796.99900, pos = ,-2171455.99613,4386111.82553,4076274.47090
LLA:time = ,435796.99900, pos = ,116.33888,39.97955,44.12316
xyz:time = ,435797.99900, pos = ,-2171454.71712,4386111.33475,4076273.33413
LLA:time = ,435797.99900, pos = ,116.33887,39.97955,42.62090
xyz:time = ,435798.99900, pos = ,-2171456.38875,4386112.44276,4076274.47689
LLA:time = ,435798.99900, pos = ,116.33888,39.97955,44.68435
xyz:time = ,435799.99900, pos = ,-2171456.78584,4386112.87829,4076274.71982
LLA:time = ,435799.99900, pos = ,116.33888,39.97955,45.27453
xyz:time = ,435800.99900, pos = ,-2171457.64786,4386113.41417,4076274.99585
LLA:time = ,435800.99900, pos = ,116.33889,39.97954,46.11295
xyz:time = ,435801.99900, pos = ,-2171457.67158,4386113.05057,4076273.94210
LLA:time = ,435801.99900, pos = ,116.33889,39.97954,45.19427
xyz:time = ,435802.99900, pos = ,-2171458.79751,4386113.88353,4076274.93106
