xyz:time = ,435272.99900, pos = ,-2171463.55746,4386124.48427,4076278.83038
LLA:time = ,435272.99900, pos = ,116.33889,39.97950,58.18794
xyz:time = ,435273.99900, pos = ,-2171463.68910,4386121.90342,4076277.91810
LLA:time = ,435273.99900, pos = ,116.33891,39.97950,55.87421
xyz:time = ,435274.99900, pos = ,-2171463.20480,4386122.28134,4076277.50082
LLA:time = ,435274.99900, pos = ,116.33890,39.97950,55.70098
xyz:time = ,435275.99900, pos = ,-2171463.29400,4386122.87610,4076278.00216
LLA:time = ,435275.99900, pos = ,116.33890,39.97950,56.46186
xyz:time = ,435276.99900, pos = ,-2171460.11227,4386113.43420,4076273.32286
LLA:time = ,435276.99900, pos = ,116.33891,39.97953,45.88964
xyz:time = ,435277.99900, pos = ,-2171459.38570,4386113.20852,4076272.47309
LLA:time = ,435277.99900, pos = ,116.33891,39.97952,44.94165
xyz:time = ,435278.99900, pos = ,-2171458.54895,4386113.62531,4076275.80397
LLA:time = ,435278.99900, pos = ,116.33890,39.97955,47.08353
xyz:time = ,435279.99900, pos = ,-2171458.49620,4386113.65720,4076275.65694
LLA:time = ,435279.99900, pos = ,116.33890,39.97954,46.99303
xyz:time = ,435280.99900, pos = ,-2171456.77635,4386112.96736,4076274.50327
LLA:time = ,435280.99900, pos = ,116.33888,39.97955,45.19333
xyz:time = ,435282.99900, pos = ,-2171456.87930,4386113.01107,4076274.19220
LLA:time = ,435282.99900, pos = ,116.33888,39.97954,45.05848
xyz:time = ,435283.99900, pos = ,-2171458.47815,4386113.87347,4076275.19187
LLA:time = ,435283.99900, pos = ,116.33889,39.97954,46.83660
xyz:time = ,435284.99900, pos = ,-2171459.61879,4386114.65805,4076275.93000
LLA:time = ,435284.99900, pos = ,116.33890,39.97954,48.23743
xyz:time = ,435285.99900, pos = ,-2171457.17939,4386113.24736,4076274.43206
LLA:time = ,435285.99900, pos = ,116.33888,39.97954,45.47689
xyz:time = ,435286.99900, pos = ,-2171457.57106,4386113.41280,4076274.75000
LLA:time = ,435286.99900, pos = ,116.33889,39.97954,45.92794
xyz:time = ,435287.99900, pos = ,-2171459.71386,4386114.89608,4076276.32978
LLA:time = ,435287.99900, pos = ,116.33890,39.97954,48.69008
xyz:time = ,435288.99900, pos = ,-2171458.97139,4386114.72594,4076275.97901
LLA:time = ,435288.99900, pos = ,116.33890,39.97954,48.09545
xyz:time = ,435289.99900, pos = ,-2171460.82143,4386116.01927,4076277.07612
LLA:time = ,435289.99900, pos = ,116.33891,39.97954,50.31749
xyz:time = ,435290.99900, pos = ,-2171461.86326,4386116.60182,4076277.83939
LLA:time = ,435290.99900, pos = ,116.33892,39.97954,51.56215
xyz:time = ,435291.99900, pos = ,-2171461.63742,4386116.38294,4076277.91390
LLA:time = ,435291.99900, pos = ,116.33891,39.97954,51.38294
xyz:time = ,435292.99900, pos = ,-2171459.75439,4386115.21050,4076276.63673
LLA:time = ,435292.99900, pos = ,116.33890,39.97954,49.11700
xyz:time = ,435293.99900, pos = ,-2171461.66588,4386116.33671,4076278.03295
LLA:time = ,435293.99900, pos = ,116.33892,39.97954,51.43736
xyz:time = ,435294.99900, pos = ,-2171460.36523,4386115.69956,4076277.14239
LLA:time = ,435294.99900, pos = ,116.33890,39.97954,49.98542
xyz:time = ,435295.99900, pos = ,-2171462.15613,4386116.91771,4076278.51202
LLA:time = ,435295.99900, pos = ,116.33892,39.97954,52.31083
xyz:time = ,435296.99900, pos = ,-2171461.46919,4386116.13238,4076277.95903
LLA:time = ,435296.99900, pos = ,116.33891,39.97954,51.18267
xyz:time = ,435297.99900, pos = ,-2171459.04793,4386114.56170,4076276.29940
LLA:time = ,435297.99900, pos = ,116.33890,39.97954,48.21453
xyz:time = ,435298.99900, pos = ,-2171460.09486,4386114.99815,4076276.89940
LLA:time = ,435298.99900, pos = ,116.33891,39.97954,49.25570
xyz:time = ,435299.99900, pos = ,-2171459.35544,4386114.59873,4076276.30738
LLA:time = ,435299.99900, pos = ,116.33890,39.97954,48.34964
xyz:time = ,435300.99900, pos = ,-2171459.12065,4386114.32515,4076276.05973
